"MESH","I","PL","S","INDEX"
"5238262211",5.089,-1.00,-1.00,-2
"5238262212",5.109,-1.00,-1.00,-2
"5238262321",4.764,0.00,0.00,-2
"5238262322",4.742,0.00,0.00,-2
"5238262124",5.075,0.36,0.01,-2
"5238262142",4.953,-1.00,-1.00,-2
"5238262231",4.974,-1.00,-1.00,-2
"5238275414",4.799,-1.00,-1.00,-2
"5238275432",4.812,-1.00,-1.00,-2
"5238275434",4.813,-1.00,-1.00,-2
"5238266913",4.768,-1.00,-1.00,-2
"5238276223",4.790,-1.00,-1.00,-2
"5238266231",4.887,0.00,0.00,-2
"5238266143",5.063,3.57,0.12,-2
"5238266144",5.056,8.74,0.14,-2
"5238266233",5.216,0.00,0.00,-2
"5238276134",4.731,-1.00,-1.00,-2
"5238267121",5.033,2.85,0.11,-2
"5238267122",5.048,8.47,0.14,-2
"5238267211",5.033,7.93,0.14,-2
"5238267212",4.746,0.00,0.00,-2
"5238277011",4.700,-1.00,-1.00,-2
"5238277021",4.685,-1.00,-1.00,-2
"5238277022",4.706,-1.00,-1.00,-2
"5238277111",4.728,-1.00,-1.00,-2
"5238267123",5.002,2.12,0.11,-2
"5238267124",5.042,0.00,0.00,-2
"5238267213",5.017,7.36,0.14,-2
"5238267132",4.867,0.00,0.00,-2
"5238267141",4.868,0.00,0.00,-2
"5238267142",4.871,0.00,0.00,-2
"5238267231",4.873,0.00,0.00,-2
"5238277042",4.714,-1.00,-1.00,-2
"5238277131",4.741,-1.00,-1.00,-2
"5238277132",4.763,-1.00,-1.00,-2
"5238277342",4.885,-1.00,-1.00,-2
"5238267233",4.878,0.00,0.00,-2
"5238277144",4.817,-1.00,-1.00,-2
"5238277344",4.898,-1.00,-1.00,-2
"5238268212",4.886,0.00,0.00,-2
"5238268431",4.767,-1.00,-1.00,-2
"5238268432",4.769,-1.00,-1.00,-2
"5238268441",4.780,-1.00,-1.00,-2
"5238268442",4.791,-1.00,-1.00,-2
"5238278232",4.879,-1.00,-1.00,-2
"5238268333",4.951,3.01,0.19,-2
"5238268334",4.900,1.28,0.15,-2
"5238268344",4.781,-1.00,-1.00,-2
"5238268433",4.797,-1.00,-1.00,-2
"5238269311",4.965,2.81,0.09,-2
"5238269312",4.920,-1.00,-1.00,-2
"5238269321",4.854,0.00,0.00,-2
"5238269322",4.815,-1.00,-1.00,-2
"5238269224",5.002,11.54,0.21,-2
"5238269313",4.982,7.11,0.23,-2
"5238269314",4.940,0.61,0.02,-2
"5238269323",4.855,-1.00,-1.00,-2
"5238279124",4.834,-1.00,-1.00,-2
"5238269242",5.064,16.02,0.23,-2
"5238269331",4.974,7.16,0.24,-2
"5238269332",4.944,0.00,0.00,-2
"5238279131",4.800,-1.00,-1.00,-2
"5238279231",4.870,-1.00,-1.00,-2
"5238279742",4.895,-1.00,-1.00,-2
"5238279831",4.886,-1.00,-1.00,-2
"5238269333",4.900,-1.00,-1.00,-2
"5238370212",4.891,-1.00,-1.00,-2
"5238370221",4.918,-1.00,-1.00,-2
"5238370411",5.014,-1.00,-1.00,-2
"5238360224",4.882,0.00,0.00,-2
"5238370413",4.994,-1.00,-1.00,-2
"5238370923",4.883,-1.00,-1.00,-2
"5238360241",4.814,0.00,0.00,-2
"5238360242",4.853,-1.00,-1.00,-2
"5238360331",4.996,-1.00,-1.00,-2
"5238370842",4.908,-1.00,-1.00,-2
"5238370941",4.890,-1.00,-1.00,-2
"5238360244",4.850,-1.00,-1.00,-2
"5238360333",4.992,-1.00,-1.00,-2
"5238360344",4.651,-1.00,-1.00,-2
"5238370433",4.997,-1.00,-1.00,-2
"5238370944",4.882,-1.00,-1.00,-2
"5238361411",4.639,-1.00,-1.00,-2
"5238371911",4.943,-1.00,-1.00,-2
"5238371922",4.916,-1.00,-1.00,-2
"5238371934",4.971,0.00,0.00,-2
"5238372422",4.998,-1.00,-1.00,-2
"5238372912",4.959,0.00,0.00,-2
"5238372921",4.962,0.00,0.00,-2
"5238372922",4.930,0.00,0.00,-2
"5238372923",4.954,0.00,0.00,-2
"5238372924",4.925,0.00,0.00,-2
"5238372441",5.062,-1.00,-1.00,-2
"5238372942",5.094,0.24,0.01,-2
"5238372044",4.865,-1.00,-1.00,-2
"5238372434",5.034,-1.00,-1.00,-2
"5238372944",4.935,-1.00,-1.00,-2
"5238373212",4.906,-1.00,-1.00,-2
"5238373421",5.058,-1.00,-1.00,-2
"5238373922",4.946,-1.00,-1.00,-2
"5238373014",4.984,-1.00,-1.00,-2
"5238373023",4.978,-1.00,-1.00,-2
"5238373024",4.949,-1.00,-1.00,-2
"5238373114",4.896,-1.00,-1.00,-2
"5238373123",4.896,-1.00,-1.00,-2
"5238373124",4.903,-1.00,-1.00,-2
"5238373423",5.046,-1.00,-1.00,-2
"5238373424",5.063,-1.00,-1.00,-2
"5238373924",5.184,-1.00,-1.00,-2
"5238373433",4.978,-1.00,-1.00,-2
"5238373444",5.047,-1.00,-1.00,-2
"5238373943",4.991,-1.00,-1.00,-2
"5238374511",5.081,-1.00,-1.00,-2
"5238374514",5.059,-1.00,-1.00,-2
"5238374923",5.033,-1.00,-1.00,-2
"5238374532",5.068,-1.00,-1.00,-2
"5238374941",5.050,-1.00,-1.00,-2
"5238374534",5.097,-1.00,-1.00,-2
"5238374943",5.188,-1.00,-1.00,-2
"5238374944",5.013,2.19,0.03,-2
"5238375512",5.133,-1.00,-1.00,-2
"5238375912",5.065,-1.00,-1.00,-2
"5238375823",5.009,3.86,0.05,-2
"5238375824",5.190,10.94,0.08,-2
"5238375142",4.976,1.53,0.03,-2
"5238375231",4.983,1.66,0.03,-2
"5238375532",5.174,0.00,0.00,-2
"5238375832",5.023,4.31,0.05,-2
"5238365434",4.947,-1.00,-1.00,-2
"5238375234",4.997,1.91,0.03,-2
"5238375543",5.173,0.00,0.00,-2
"5238375744",5.025,-1.00,-1.00,-2
"5238375833",5.043,5.10,0.06,-2
"5238375843",5.047,5.26,0.06,-2
"5238375844",5.059,5.74,0.06,-2
"5238366411",4.958,-1.00,-1.00,-2
"5238376212",4.993,1.84,0.03,-2
"5238376521",5.179,0.00,0.00,-2
"5238376721",5.033,-1.00,-1.00,-2
"5238376811",5.057,-1.00,-1.00,-2
"5238376812",5.048,5.30,0.06,-2
"5238376911",5.048,5.30,0.06,-2
"5238366124",5.022,11.78,0.19,-2
"5238366213",5.145,18.35,0.21,-2
"5238366214",4.933,0.00,0.00,-2
"5238366223",5.078,0.00,0.00,-2
"5238366323",4.977,-1.00,-1.00,-2
"5238366324",4.973,-1.00,-1.00,-2
"5238376124",4.986,1.71,0.03,-2
"5238376213",4.997,1.91,0.03,-2
"5238376214",4.999,1.94,0.03,-2
"5238376223",5.010,2.14,0.03,-2
"5238376723",5.071,-1.00,-1.00,-2
"5238376724",5.077,-1.00,-1.00,-2
"5238376914",5.049,0.00,0.00,-2
"5238366132",4.736,0.00,0.00,-2
"5238366141",5.138,4.25,0.04,-2
"5238366231",5.146,19.07,0.22,-2
"5238366232",4.934,0.00,0.00,-2
"5238366241",5.115,0.00,0.00,-2
"5238366242",5.077,-1.00,-1.00,-2
"5238366331",5.043,-1.00,-1.00,-2
"5238366332",5.007,-1.00,-1.00,-2
"5238376042",5.065,-1.00,-1.00,-2
"5238376131",4.976,3.47,0.16,-2
"5238376132",4.979,1.59,0.03,-2
"5238376141",4.977,1.55,0.03,-2
"5238376732",5.072,2.81,0.01,-2
"5238376741",5.078,-1.00,-1.00,-2
"5238376742",5.062,-1.00,-1.00,-2
"5238366044",5.004,8.49,0.20,-2
"5238366133",5.009,8.72,0.21,-2
"5238366233",5.147,15.87,0.22,-2
"5238366234",4.941,0.00,0.00,-2
"5238366243",5.093,0.00,0.00,-2
"5238376744",5.043,-1.00,-1.00,-2
"5238347021",4.573,0.00,0.00,-2
"5238367111",5.017,4.40,0.11,-2
"5238367112",5.020,4.51,0.11,-2
"5238367211",5.149,9.19,0.11,-2
"5238377811",5.052,-1.00,-1.00,-2
"5238377921",4.975,0.00,0.00,-2
"5238347023",4.576,0.00,0.00,-2
"5238367113",5.025,4.71,0.11,-2
"5238367114",5.026,4.75,0.11,-2
"5238377524",5.375,8.64,0.03,-2
"5238377813",5.044,-1.00,-1.00,-2
"5238347041",4.593,0.00,0.00,-2
"5238347042",4.583,0.00,0.00,-2
"5238377542",5.246,-1.00,-1.00,-2
"5238377631",5.231,-1.00,-1.00,-2
"5238377632",5.180,-1.00,-1.00,-2
"5238377641",5.141,-1.00,-1.00,-2
"5238377642",5.127,-1.00,-1.00,-2
"5238377731",5.081,-1.00,-1.00,-2
"5238377832",5.065,-1.00,-1.00,-2
"5238347043",4.603,0.00,0.00,-2
"5238347044",4.576,0.00,0.00,-2
"5238347133",4.526,0.00,0.00,-2
"5238377633",5.275,-1.00,-1.00,-2
"5238377634",5.305,3.11,0.01,-2
"5238377733",5.100,-1.00,-1.00,-2
"5238377734",5.083,-1.00,-1.00,-2
"5238377843",5.065,-1.00,-1.00,-2
"5238348021",4.544,0.00,0.00,-2
"5238348022",4.578,0.00,0.00,-2
"5238348111",4.611,0.00,0.00,-2
"5238348112",4.599,0.00,0.00,-2
"5238378311",5.099,-1.00,-1.00,-2
"5238378611",5.284,-1.00,-1.00,-2
"5238378721",5.067,-1.00,-1.00,-2
"5238378722",5.066,-1.00,-1.00,-2
"5238378821",5.056,-1.00,-1.00,-2
"5238348023",4.555,0.00,0.00,-2
"5238348024",4.550,0.00,0.00,-2
"5238348113",4.619,0.00,0.00,-2
"5238348114",4.618,0.00,0.00,-2
"5238378314",5.127,-1.00,-1.00,-2
"5238378323",5.139,-1.00,-1.00,-2
"5238378524",5.232,-1.00,-1.00,-2
"5238378613",5.293,-1.00,-1.00,-2
